Target,MOC total,SiO2,TiO2,Al2O3,FeOT,MgO,CaO,Na2O,K2O,,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
PL1B,93.91,63.51,0.73,18.76,4.71,1.53,0.37,0.17,4.09,93.87,-0.870345663,0.153448506,0.266053485,1.035251626,-0.704234267,-0.752177429,0.098560873,-0.681681858,0.982683271,-0.065724324,0.077216691,-0.131183269,0.696090383,0.339426326,-0.112722008,-0.648323426,-0.002751761,0.449341839,0.370917292,0.180829467,0.639230564,-0.978711378,-0.10890143,0.343617064,-0.368976869
PL1B,93.91,63.51,0.73,18.76,4.71,1.53,0.37,0.17,4.09,93.87,-0.882621814,0.194823598,0.276915705,1.034020044,-0.601560368,-0.930208416,-0.115304528,-0.469575407,1.080015515,0.066099232,0.074385134,-0.202599221,0.663213721,0.311127735,-0.063854248,-0.580923028,-0.101114475,0.601877123,0.407506363,0.150273389,0.549561049,-0.822550581,0.114857875,0.24102282,-0.352236233
PL1B,93.91,63.51,0.73,18.76,4.71,1.53,0.37,0.17,4.09,93.87,-0.885762289,0.31899647,0.249551994,1.018682848,-0.842381772,-0.709234808,0.120376774,-0.705620071,0.964873959,0.184574189,0.055324837,0.05545477,0.850833928,0.355675323,-0.078569165,-0.364108012,-0.339750332,0.474109651,0.205002784,-0.084287176,0.21424614,-1.179163653,0.012757669,0.017470286,-0.265953895
PL1B,93.91,63.51,0.73,18.76,4.71,1.53,0.37,0.17,4.09,93.87,-0.866242424,0.224631574,0.290243121,0.965220733,-0.74326352,-0.962319395,0.022717589,-0.287089515,1.250717861,-0.528384961,0.333258,-0.179007489,0.694546493,0.234426767,-0.026715776,-0.708691603,0.218630505,0.41299376,0.735778173,0.243171029,0.946938112,-0.321282766,0.235692926,0.492831537,-0.693271606
PL1B,93.91,63.51,0.73,18.76,4.71,1.53,0.37,0.17,4.09,93.87,-0.833180441,0.19485232,0.237664378,1.050881282,-0.647177332,-0.654798675,0.073326103,-0.884372843,1.09742039,0.119270083,0.046676323,-0.269827813,0.976642774,0.555959158,0.249679131,-1.053849954,-0.19891177,0.523287709,0.902101831,0.074853783,1.175243587,-0.609650924,0.080165033,0.168786308,-0.81182045
PL3,95.06,68.5,0.64,16.5,4.43,0.83,0.09,0.34,3.72,95.05,-1.195800058,-0.086560004,0.115736917,1.121667158,-0.445765023,-1.288218857,-0.600644445,0.709244697,0.584312,0.204459142,0.305169861,-0.375519359,-0.256152498,0.009456167,0.03450307,-0.470617019,0.129819447,0.121706928,0.360776929,-0.085100045,-0.739297832,-0.269012362,1.06805116,-0.111121238,-0.488573106
PL3,95.06,68.5,0.64,16.5,4.43,0.83,0.09,0.34,3.72,95.05,-1.16946327,-0.148405876,0.15954613,1.097761847,-0.417111985,-1.328491254,-0.560942316,0.655577405,0.445285532,0.280462299,0.278892135,-0.435312669,-0.171425029,-0.123789744,-0.083458468,-0.652456468,0.151037189,0.264362824,0.48838291,-0.028097436,-0.612616398,-0.328975625,1.02260061,-0.054950819,-0.575425174
PL3,95.06,68.5,0.64,16.5,4.43,0.83,0.09,0.34,3.72,95.05,-1.213633749,-0.099908582,0.053720552,1.177698141,-0.368880925,-1.287247244,-0.846774828,0.733650429,0.304872022,0.500525834,0.002766791,-0.225980449,-0.498162846,-0.052414445,-0.042477939,-0.482835094,0.261699257,0.324985588,0.301316385,0.041158568,-0.775567798,-0.29590286,1.198724289,-0.068066665,-0.501998216
PL3,95.06,68.5,0.64,16.5,4.43,0.83,0.09,0.34,3.72,95.05,-1.076481297,-0.150215867,0.227670802,0.964162115,-0.426285837,-1.402590236,-0.418312876,0.683578365,0.497916229,0.047760223,0.511840911,-1.01450668,0.293100463,-0.427872144,-0.800716033,-0.631893688,-0.0017619,0.583513911,0.698517462,0.045955627,-0.61066639,-0.720026018,1.268991997,-0.10143476,-0.668869717
PL3,95.06,68.5,0.64,16.5,4.43,0.83,0.09,0.34,3.72,95.05,-1.266609256,-0.127430831,-0.07542375,1.317920355,-0.882990711,-0.902207693,-0.51649998,0.353167432,0.085589203,-0.138865835,0.238142175,-0.390747705,-0.357440149,0.155343916,0.31658949,-0.41793296,0.102723455,-0.104946995,0.272152293,-0.14458322,-0.452101358,-0.168982884,1.226781421,-0.28440673,-0.926759462
PL4,92.48,78,0.49,8.84,0.32,0.46,0.42,1.57,2.37,92.47,-0.647149188,-0.540485002,-0.012154248,0.67519794,1.436703247,1.15120595,0.772294875,-2.770020698,-0.438599998,0.9360298,-0.681998643,0.11144434,0.939237155,0.885058671,0.256155153,1.319382834,-0.636769184,-0.08422611,0.372541284,0.088714545,-1.718881248,-0.99618339,-1.924967722,0.681555284,-0.008070437
